iDISK_ID,Name,CUI,Background,Safety,Mechanism of action,Source Material,Common Names,NHP_Name,DSLD_Name,MSKCC_Name,NM_Name
DSI000010,Avena sativa,C1141017,,,,Avena sativa - Seed | Hull | Germinated Caryopse,,Avena sativa | Avena sativa fibre | Avena sativa germinata,,,
DSI000011,Vitamin A,C0087161,"Vitamin A is a group of nutrient compounds available from dietary sources including fruits, vegetables, eggs, dairy products, and fish. Vitamin A and its analogs such as beta-carotene, alpha-carotene, and cryptoxanthin are used as prescription drugs or dietary supplements to improve vision, skin conditions, immune function, growth and development in children, and to treat eczema and hepatitis C .In pediatric studies, supplementation appeared to benefit children , improve immune response to specific vaccines , reduce recurring urinary tract and parasitic infections , reduce clinical malaria episodes and improve plasma retinol levels in extremely preterm infants . However, other trials yielded conflicting data , and also do not support maternal or neonatal supplementation . In adults, preliminary findings suggest supplementation may inhibit progression of multiple sclerosis and improve fatigue and depression but evidence is lacking to support use of retinol-containing products to improve the appearance of aged skin .In oncology settings, some studies reported that late-stage breast cancer patients have lower serum vitamin A levels , and that diets richer in micronutrients including vitamin A can improve immune functioning and prognosis in head and neck cancer patients , and reduce the risk of oral and pharyngeal cancers . However, supplementation does not protect against non-small cell lung cancer or prolong survival for melanoma patients , and may actually elevate the risk of prostate cancer . Therefore it is best to obtain vitamin A from dietary sources, which can also protect against other chronic diseases. For instance, a meta-analysis found that having a diet rich in mixed carotenoids, which can then be converted to vitamin A in the body, benefits cardiometabolic health .Vitamin A is fat-soluble and supplement overuse may cause accumulation in the body. Doses greater than the recommended Daily Value of 5,000 IU or in conjunction with certain medications or pre-existing conditions may also result in adverse effects or toxicity . At the same time, vitamin A deficiency is the leading cause of preventable childhood blindness worldwide and often related to a lack of proper food access from poor socioeconomic status . Selective eating or restricted diet may also cause deficiencies and complications . In addition, a few cases of vitamin A deficiency-related retinopathy occurring years after abdominal surgeries have been possibly attributed to surgically-induced malabsorption: one related to multiple abdominal tumor resections , and another to bariatric surgery .",,"Vitamin A is essential for many aspects of ocular metabolism, including conjunctival and corneal epithelial maintenance, retinal phototransduction, and retinal pigment epithelial cell viability (33). Nuclear receptor transcription factors are central to vitamin A activity, and most transcriptional actions require the retinoic acid receptor/retinoid x receptor (RXR/RAR) heterodimer (34). Transcriptional changes are linked to epigenetic changes in histones and DNA via recruitment of epigenetic modifying enzymes (35).All-trans retinoic acid (ATRA) has been identified as the most important active metabolite in vitamin A for tissue homeostasis in adults and segmentation control in developing organisms (36). As such, retinoids that include ATRA along with natural and synthetic derivatives exhibit anticancer properties linked to their ability to induce cellular differentiation and growth suppression (35) (36).In animal models of melanoma, ATRA in combination with epigallocatechin-3-O-gallate (EGCG) from green tea enhanced 67-kDa laminin receptor expression and increased EGCG-induced cell growth inhibition (37). In estrogen receptor-negative breast cancer cells, ATRA halts telomerase activity and exerts antitumor effects via a rapid decrease of H3-K9 acetylation at the hTERT promoter (38). The protective effect of supplemental retinol against melanoma may be mediated by sunlight exposure (39).In multiple sclerosis patients, vitamin A supplementation as retinyl palmitate upregulated TGF-beta and FoxP3 gene expression (40) and decreased IFN-gamma and T-bet gene expression (41).Vitamin A competes with vitamin D for the same parathyroid hormone receptor (42).","Vitamin A palmitate | Preformed Vitamin A: Fortified and animal-based foods such as dairy products, liver, eggs, fishPro Vitamin A (beta-carotene): Carrots, sweet potato, cantaloupe, pumpkin, mango, papaya, dark leafy greens (9) (32)",Retinol | Retinal | Retinoic acid | Retinoid | Retinol palmitate,Vitamin A | Vitamin A aldehyde,Vitamin A (vitamin A cetate) | Vitamin A (retinol) | Vitamin A (retinyl not specified) | Vitamin A | Vitamin A (not specified) | Vitamin A (mixed) | Vitamin A (unspecified),Vitamin A,
DSI000012,Biotin,C0005575,"Biotin is an essential B vitamin that acts as an important coenzyme in carbohydrate and lipid metabolism. It is often taken alone or in combination with other vitamins for skin, nail, and hair health. It is also thought to benefit patients with diabetes and neuromuscular disorders. Biotin is abundant in foods including meat, vegetables, and eggs. True deficiency is rare but can be caused by a genetic disorder or malabsorption syndrome. Long-term use of certain anticonvulsant drugs can also induce biotin deficiency . These can be treated with supplementation. Low serum levels of biotin have been associated with hair loss in some women , but evidence on biotin for hair growth or strengthening brittle nails is limited . Although preliminary data found benefit with high-dose biotin for multiple sclerosis , a larger well-designed trial did not, but did find the potential for adverse consequences stemming from inaccurate lab test results . A review also cited insufficient evidence to support this use . Exploratory studies suggest biotin may benefit patients with severe diabetic peripheral neuropathy , and improve glycemic control when taken with chromium . Randomized trials are needed to validate these observations. Some case reports suggest biotin may help reduce chemotherapy-related skin rash , but overall evidence is lacking to support its use for dermatological disorders . Cases of inaccurate diagnostic test results have been linked to biotin supplement consumption. The American Association of Clinical Chemistry has issued a guidance document to help identify and address biotin interference in lab testing , and newer-generation assays now prevent biotin interference for hsTnT and TSH testing .",,"Biotin is an essential component in carbohydrate and lipid metabolism. It is converted to the free active form by the enzyme biotinidase (1).
Studies have shown that biotin induces microtubule formation in neurons (7), and deficiency slows myelination (8), which may result in neuropathy. Biotin may also reduce the activity of interleukins and interferons, decreasing the number of leukocytes (9).","Biotin | Liver, kidney, eggs, almonds, sweet potato, soy beans, peanuts, wholegrain cereals, brewer’s yeast, dairy products",Vitamin H | Vitamin B7 | Coenzyme R | D-Biotin | W Factor,Biotin,Biotin | Vitamin B7 (biotin),Biotin,
DSI000013,Choline,C0008405,,,,Choline bitartrate | Choline bitartrate | Choline bitartrate | Choline bitartrate | Choline bitartrate | Choline bitartrate | Choline bitartrate | Citicoline,,"Choline | (beta-hydroxyethyl)trimethylammonium | 2-Hydroxy-N,N,N-trimethylethanaminium | (2-Hydroxyethyl)trimethylammonium-L-(+)-tartrate salt (1:1) | (beta-Hydroxyethyl)trimethylammonium | (2-Hydroxyethyl)trimethylammonium | Trimethylethanolamine | 2-Hydroxyethyltrimethylammonium hydrogen tartrate | Choline cytidine 5'-pyrophosphate (ester)",Choline,,
DSI000014,Folate,C0178638,"Folate is an essential member of the vitamin B complex family that is naturally present in grains, green leafy vegetables, and liver. Folic acid and the L-methylfolate derivative are synthetic supplemental forms that have higher bioavailability . Folate is important for cell growth and division, and is involved in methylation and DNA synthesis. Inadequate intake can cause deficiency leading to megaloblastic anemia. Folate is essential during pregnancy, with supplementation shown to reduce risks of neural tube birth defects and medulloblastoma in offspring . A study among South American populations suggests the protective effect against neural tube defects may be greater in female than male infants . In high doses (5 mg/day), it reduced homocysteine levels at time of delivery and may lessen pregnancy complications . Supplementation may also benefit women with polycystic ovary syndrome along with improving BMI , but supplements taken beyond the first trimester did not prevent pre-eclampsia in women at high risk for this disorder . In a large multicenter trial, folic acid and zinc supplementation by male partners of couples seeking infertility treatment did not improve semen quality or live birth rates . In postmenopausal women, folic acid may help reduce hot flushes, but confirmatory data are needed . In older adults, folic acid supplementation may improve cognitive function . In patients with Alzheimer’s disease, it improved response to cholinesterase inhibitors , cognition, and inflammatory markers . However, high folate / low vitamin B-12 status has been associated with impaired cognitive function in older adults . And although folic acid along with docosahexaenoic acid improved cognitive function and decreased plasma inflammatory cytokines better than each supplement alone in one study , other data suggest benefits with folic acid on cognitive function occur in those with a lower, rather than higher, omega-3 fatty acid status . But a combination of folic acid and vitamin-B12 did not affect the risk of fracture or cardiovascular disease in this population . Folic acid decreases homocysteine levels, a risk factor for cardiovascular disease (CVD) mortality , improves BMI in those with high homocysteine levels along with lowering blood pressure in smokers and in patients with CVD and overweight individuals . A combination of folic acid and vitamin B12 supplements also decreased homocysteine levels and improved anemia in patients with multiple sclerosis , but evidence is limited on whether supplementation has an effect on anemia in patients with sickle cell disease . Among hypertensive adults, folic acid therapy reduced risk of first stroke , but smoking status may affect efficacy . Other trials on stroke risk have yielded mixed results with meta-analyses confirming reductions in the risks of cardiovascular disease and stroke . In other studies, folate lowered blood arsenic concentrations of chronically exposed individuals by facilitating its urinary excretion . It was also associated with lower risk of progression of early-to-late age-related macular degeneration and when added to antipsychotics, may improve symptoms in schizophrenic patients , but did not have any significant effects on memory . Studies of folate vs cancer risk are mixed. Deficiency has been linked to development of esophageal squamous cell cancer and low levels of folate in the blood with certain forms of cancer , whereas higher levels of dietary folate may reduce the risk of breast and pancreatic cancers , but not prostate cancer . Folate supplementation may help cervical intraepithelial neoplasia regression , but studies on colorectal cancer risk produced mixed results and some even suggest a negative effect . A large population study suggested an association between dietary folate intake and increased risk for overall skin cancer, basal cell carcinoma, and non-melanoma skin cancer, particularly in women . Over-consumption of folic acid supplements may also increase risk of toxicity and some cancers . In young children, folic acid fortification was associated with reduced incidence of Wilms tumor and primitive neuroectodermal tumors . Studies of folic acid in combination with other B vitamins reported negative findings, with no overall effect on breast or invasive cancers , along with the potential for increased cancer incidence and mortality in patients with ischemic heart disease . Such interventions have also produced mixed results in studies for older adults with depression , and did not improve bone mineral density or reduce fracture risk or incidence . Further studies are needed for more definitive data. Due to its antagonistic effects, folic acid can reduce the side effects of methotrexate when used for rheumatoid arthritis . However, it may decrease the efficacy of methotrexate in the treatment of acute lymphoblastic leukemia and psoriasis . Excess folate or folic acid may mask vitamin B12 deficiency . More research is needed to address the evidence and knowledge gaps related to the effects of higher intake of folate/folic acid on human health .",,"Folate acts as a co-enzyme during methylation. The bioactive form is tetrahydrofate, which can be converted from folic acid through the action of dihydrofolate reductase. Drugs that inhibit this enzyme can therefore reduce folic acid activity. The amino acid serine reacts with tetrahydrofolate, resulting in 5,10- methylenetetrahydrofolate, the derivative involved in nucleotide synthesis. In addition, 5-methyltetrahydrofolate transfers a methyl group to cobalamin (vitamin B12) and then to homocysteine, converting it to methionine, the precursor of methyl donor, S-adenosyl-methionine (SAM-e) that plays a major role in neurological function and several biochemical pathways (41). Genetic polymorphisms that lower the production of methylenetetrahydrofolate reductase can also reduce SAM-e and increase homocysteine levels. Supplementation with folic acid can therefore reduce homocysteine levels and DNA oxidative damage (57) (58). This may in turn lower risk of cardiovascular and psychiatric diseases by increasing SAM-e (59) (60). Folic acid supplementation also improves endothelial function (16) (31); and has a protective effect on retinal vascular endothelial cells from high glucose-induced injury via regulating proteins in the Hippo signaling pathway (76).
Although low folate status is associated with increased risk of cardiovascular disease and some cancers (61), increased intake from fortified foods may actually raise cancer risk (49) (50) (62). There is also evidence that high levels of unmetabolized folic acid in plasma can reduce natural killer cell cytotoxicity (63).","Folate | Main sources include fortified breakfast cereals and breads, liver, Brussels sprouts, potatoes, spinach, chickpeas, and brewer’s yeast.",Folic acid | Vitamin B9,Folate,Folate,Folate,
DSI000015,Inositol,C0021547,,,,Inositol | Inositol | Inositol | Inositol hexanicotinate | Inositol | Inositol hexaniacinate | Rice Bran | Inositol,,"Inositol | Myo-inositol | Myo-Inositol | myo-Inositol, hexa-3-pyridinecarboxylate | Cis-1,2,3,5-trans-4,6-Cyclohexanehexol | D-Chiro-inositol | cis-1,2,3,5-trans-4,6-Cyclohexanehexol | Inositol hexaniacinate | Cyclohexanehexol | 1,2,3,5/4,6-cyclohexanehexol",Inositol,,
DSI000016,Niacinamide,C0028027,"Nicotinamide, also known as niacinamide, is a water-soluble amide form of niacin or vitamin B3. It is found in foods such as fish, poultry, eggs, and cereal grains. It is also marketed as a dietary supplement, and as a non-flushing form of niacin. Nicotinamide has established medical uses to treat conditions stemming from niacin deficiency such as pellagra. Oral and topical formulations are used to treat a variety of inflammatory skin conditions including acne vulgaris and rosacea , hyperpigmentation and to prevent hair thinning . Preclinical models demonstrate photoimmunoprotective and chemopreventive effects against UV radiation . Nicotinamide enhances repair of UV radiation-induced DNA damage in human melanocytes and keratinocytes and similar effects have been demonstrated in human studies . It was also shown to improve inner retinal and visual function in patients treated for glaucoma. Other clinical trials show oral nicotinamide reduces UV-induced and photodynamic therapy (PDT)-induced immunosuppression. In patients with sun-damaged skin, oral nicotinamide helped prevent the occurrence of nonaggressive skin cancers . In a small trial among renal transplant patients however, similar effects were not significant . Other studies found a reduction in actinic keratoses, a predictor of melanoma risk , and a meta-analysis reported association with significant reductions in basal cell and squamous cell carcinomas, but increased risk of digestive adverse events . Additional studies are warranted . Nicotinamide appears to be largely well tolerated in clinical studies . Even though niacin is converted into nicotinamide in the body , these two supplements should not be viewed as interchangeable as they have different side effect profiles .",,"Nicotinamide is chemically part of the coenzymes nicotinamide adenine dinucleotide NAD+ and NADH (1), used in oxidation-reduction reactions in the body. Among these activities is the production of adenosine triphosphate (ATP) (11), which fuels cellular metabolic activities.
Photoimmunoprotective effects of oral or topical nicotinamide are linked to its support for DNA repair by preventing post-UV exposure declines in cellular energy or the repletion of energy to irradiated cells (4) (13). Its influence on several pathways contribute to this enhanced repair of UV-induced DNA damage (16). Skin cancer chemoprevention is attributed in part to reductions in inflammatory macrophages (22). In UV-irradiated keratinocytes, nicotinamide reduced expression of IL-6, IL-10, MCP-1 and TNF-alpha mRNA, cytokine mediators whose activity may be involved in inflammation, cellular-tissue injury, cell death, and skin cancer (17). In human melanocytes, nicotinamide increased the global nucleotide excision repair rate and number of irradiated melanocytes undergoing DNA repair (5).
Effects of topical nicotinamide on inflammatory skin conditions are attributed to its sebosuppressive and anti-inflammatory properties (1).
Although niacin and nicotinamide are considered similar in their role as vitamins, their pharmacologic indications, effects, and side effects are different. Niacin has high affinity to a G-protein-coupled receptor HM74A in human cells resulting in the releasing of prostaglandins that cause vasodilation or flushing of the skin. It also lowers cholesterol (11) (18) .","Niacinamide | Niacinamide | Nicotinamide ascorbate | Niacinamide | Fish, poultry, eggs, nuts, legumes, beef, cereal grains, fortified foods; smaller amounts are also found in green vegetables.",Vitamin B3 | Niacinamide | Nicotinic acid amide | Nicotinic amide | Vitamin PP,Niacinamide | 3-Pyridinecarboxamide | Nicotinamide | Nicotinamidum,Nicotinamide Mononucleotide | Nicotinamide | Vitamin B3 (Niacinamide) | Vitamin B3 (nicotinamide),Nicotinamide,
DSI000017,Pantothenic acid,C0030342,,,,Calcium D-pantothenate | Calcium D-pantothenate,,"Pantothenic acid | D-Pantothenic Acid | beta-Alanine, N-((2R)-2,4-dihydroxy-3,3-dimethyl-1-oxobutyl)-, calcium salt (2:1) | Vitamin B5",Pantothenic Acid (Vitamin B5) | Vitamin B5 | Vitamin B5 (Pantothenic Acid) | Vitamin B5 (unspecified) | Vitamin B5 (mixed),,
DSI000018,Riboflavin,C0035527,,,,Riboflavin | Riboflavin,,Riboflavin | Vitamin B2 | Riboflavinum,Riboflavin (B2) | Riboflavin | Vitamin B2 | Vitamin B2 (riboflavin selenite) | Vitamin B2 (mixed) | Vitamin B2 (Riboflavin) | Vitamin B2 (unspecified) | Vitamin B2 (various),,
DSI000019,Thiamine,C0039840,,,,Thiamine mononitrate | Thiamine hydrochloride,,Thiamine | Vitamin B1 | Thiaminum hydrochloricum,Thiamine (Vitamin B1) | Thiamin | Vitamin B1 (Thiamine) | Vitamin B1 | Vitamin B1 (unspecified) | Vitamin B1 (mixed) | Vitamin B1 (thiamine monohydrate) | Vitamin B1 (thiamin disulfide),,
DSI000020,Vitamin B12,C2936883,"Vitamin B12, part of the vitamin B-complex family, refers to the group of compounds that consists of cyanocobalamin, hydroxycobalamin, and related substances . It is essential for normal nerve function, DNA synthesis, hematopoiesis, fatty acid metabolism, and amino acid synthesis in the mitochondria. It also plays an important role in homocysteine metabolism. Vitamin B12 is abundant in diets that include meat and dairy products, although deficiency can occur in those with malabsorption syndromes or those who take medications for gastric disorders , for conditions associated with insulin resistance , or in those who follow a strict vegetarian diet . B12 deficiency is also more common among the elderly . Lack of B12 can lead to a wide variety of hematologic, neurologic, and psychiatric disorders, may increase the risk of cardiovascular disease , and cause pseudo-thrombotic microangiopathy following gastrectomy . Vitamin B12 is often included in vitamin products used to reduce homocysteine, which is associated with cardiovascular diseases. High dietary intakes of B vitamins including B12 have been associated with a decreased risk for cataracts . However, combined supplementation with B12, B6, and folic acid may increase the risk of cataract extraction . Although low serum B12 levels have been associated with increased bone turnover and fracture risk , long-term B12 and folic acid supplementation did not improve bone mineral density , or reduce osteoporotic fracture incidence in elderly individuals with elevated plasma homocysteine levels . Repletion of vitamin B12 may improve response in patients resistant to antidepressants , and in older adults with major depression, long-term supplementation with a combination of B12, B6, and folic acid enhanced antidepressant treatment efficacy . However, such combined supplementation did not reduce depression risk among middle-age and older women despite significant reductions in homocysteine levels . Homocysteine-lowering therapy may have some cardiovascular benefits following coronary interventions , but does not appear to lower risk of further cardiovascular events including stroke . In addition, increased risk of in-stent restenosis with such treatment has been reported in patients after coronary stenting . Long-term B12 and folic acid supplementation also had no effect on arterial stiffness and atherosclerosis in elderly patients with hyperhomocysteinemia , and a meta-analysis suggests that evidence for cardiovascular preventive benefits with B-vitamins is lacking . In other studies, B12 did not improve cognitive function , but may positively affect gait and physical performance in the elderly , or reduce analgesic use in patients with postherpetic neuralgia . Studies of B vitamin supplementation for cancer prevention are also mixed , and long-term supplementation may actually increase risk for lung or colorectal cancers . Preliminary data suggest B12 supplementation may help reduce pain and improve quality of life in patients with aromatase inhibitor-associated musculoskeletal symptoms . However, individual B12 or iron supplement use during chemotherapy may be significantly associated with poorer outcomes . Additional studies are needed to elucidate these findings.",,"Vitamin B12 is involved in the transfer of methyl groups, and in methylation reactions essential for the synthesis of phospholipids and neurotransmitters in the central nervous system. It is also required for synthesis of nucleic acid, notably DNA, the metabolism of fatty acids and amino acids in the mitochondria, and in delivering SAMe, the universal methyl donor (16) (30). In humans, two enzymatic reactions dependent on B12 are produced and activated in separate cellular compartments: methylcobalamin in the cytosol and adenosylcobalamin in the mitochondria (1). As a coenzyme in methyl transfer reactions, B12 converts homocysteine to methionine, and participates in L-methylmalonyl-coenzyme A (CoA) conversion to succinyl-CoA (8). In the first enzyme reaction, methylcobalamin is used to recycle the folate cofactor 5-methyltetrahydrofolate to tetrahydrofolate thereby allowing the folate cofactor to participate in a cycle involving the biosynthesis of purines and pyrimidines. During this reaction, homocysteine is converted to methionine yielding the methyl groups required for methylation that is essential in biosynthesis (31).
When used with pemetrexed, B12/folic acid therapy further increases sub-G1 populations in human adenocarcinoma and large-cell carcinoma cell lines, independent of p53 status (28).","Vitamin B12 | 
Meat


Poultry


Fish


Shellfish


Dairy


Fortified cereals

",Cyanocobalamin | Cobalamin,Vitamin B12,Vitamin B12 | Vitamin B12 (unspecified) | Vitamin B12 (mixed) | Vitamin B12 (cyanacobalamin) | Vitamin B12 (various),Vitamin B12,
